Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
7	3278812	3284331	VIT_07s0005g00620
18	9460527	9471201	VIT_18s0001g11150
17	9915823	9919416	VIT_17s0000g08630
8	18050463	18058433	VIT_08s0007g04070
2	3335864	3346096	VIT_02s0025g03830
18	10250513	10252002	VIT_18s0001g12040
8	2609945	2636120	VIT_08s0056g01640
8	5753331	5754021	VIT_08s0032g01160
15	13153419	13155814	VIT_15s0021g02210
10	1318306	1319562	VIT_10s0003g00030
6	8335787	8357910	VIT_06s0004g07570
12	11757139	11767617	VIT_12s0121g00080
14	26066339	26070944	VIT_14s0171g00220
8	18265208	18269165	VIT_08s0007g04300
Un	35248254	35252282	VIT_00s0772g00020
18	19629026	19649753	VIT_18s0072g00440
18	7977194	7980482	VIT_18s0001g09550
Un	35302755	35304666	VIT_00s0779g00020
12	639526	644730	VIT_12s0142g00720
13	6106693	6118270	VIT_13s0019g04640
19	5987976	5991870	VIT_19s0177g00150
3	1301501	1302939	VIT_03s0038g01860
1	4104756	4112718	VIT_01s0011g04530
18	20438330	20441668	VIT_18s0072g00990
19	11667757	11670959	VIT_19s0015g02180
11	13790836	13795383	VIT_11s0065g00210
8	20968760	20974743	VIT_08s0007g07440
19	19860760	19861458	VIT_19s0027g00680
Un	12742513	12742920	VIT_00s0208g00080
4	18957444	18961992	VIT_04s0023g02400
10_random	340057	344422	VIT_10s0116g00750
5	4144946	4176378	VIT_05s0020g02490
14	24253217	24259740	VIT_14s0068g00520
2	4131564	4138338	VIT_02s0025g04580
13	23174290	23183665	VIT_13s0064g01300
16	2545018	2562339	VIT_16s0039g02400
9	7074062	7079097	VIT_09s0002g07130
1	6274421	6278504	VIT_01s0011g06470
Un	14274016	14303976	VIT_00s0220g00160
9	18140935	18143963	VIT_09s0018g01240
18	7790270	7794438	VIT_18s0001g09300
18	3320975	3328281	VIT_18s0001g03450
16	18657394	18658860	VIT_16s0050g01710
13	3033747	3040948	VIT_13s0019g01470
16	18109398	18119836	VIT_16s0050g01230
14	5694266	5694914	VIT_14s0030g01230
5	18253038	18257632	VIT_05s0062g00120
Un	30797757	30802400	VIT_00s0505g00030
6	8235012	8244801	VIT_06s0004g07430
5	17723726	17723932	VIT_05s0029g01510
2	5245992	5247916	VIT_02s0154g00470
7	4404069	4412549	VIT_07s0005g01960
18	626783	627577	VIT_18s0122g00870
6	797653	798055	VIT_06s0004g00640
10	804943	811930	VIT_10s0116g01510
Un	26152987	26156994	VIT_00s0371g00060
8	11548295	11560150	VIT_08s0040g00610
12	10073950	10077197	VIT_12s0057g01340
12	19392859	19393308	VIT_12s0035g00160
2	5523371	5523828	VIT_02s0236g00090
14	11046522	11047384	VIT_14s0036g00790
9	3279559	3283962	VIT_09s0002g03610
17	938878	940599	VIT_17s0000g01300
7	4261021	4262783	VIT_07s0005g01780
5	13190069	13190368	VIT_05s0136g00040
16	3339213	3340019	VIT_16s0039g02810
Un	1284866	1300947	VIT_00s0125g00090
2	303759	306573	VIT_02s0025g00150
16	17881731	17898114	VIT_16s0050g00960
9	16000783	16002591	VIT_09s0018g00190
1	5345033	5350061	VIT_01s0011g05630
6	2177584	2186415	VIT_06s0004g01770
Un	40656943	40657305	VIT_00s1889g00010
18	3170440	3174962	VIT_18s0001g03150
16_random	321898	322577	VIT_16s0039g00630
9	18538279	18551588	VIT_09s0018g01460
1	15680899	15683279	VIT_01s0010g00620
11	1506369	1508546	VIT_11s0016g01860
Un	23737100	23739059	VIT_00s0332g00110
6	15494204	15494753	VIT_06s0009g02690
18	28167862	28168881	VIT_18s0089g00380
1	4661938	4662999	VIT_01s0011g04990
14	1915242	1918900	VIT_14s0060g02330
1	3757170	3759841	VIT_01s0011g04140
9	11799285	11800802	VIT_09s0096g00370
6	4762503	4766209	VIT_06s0004g03790
13	141907	145880	VIT_13s0067g00210
6	2038513	2040081	VIT_06s0004g01640
Un	8376511	8387831	VIT_00s0184g00050
15	355864	356278	VIT_15s0024g00250
Un	37139382	37139414	VIT_00s0958g00010
17	11674728	11675129	VIT_17s0000g09800
11	13109292	13112467	VIT_11s0065g00050
5	17883819	17885180	VIT_05s0029g01570
3	565597	568081	VIT_03s0038g00630
13	1022072	1022675	VIT_13s0067g01880
11	18230347	18248740	VIT_11s0052g00710
18	26773203	26795521	VIT_18s0041g01830
9_random	202956	204657	VIT_09s0002g00250
7	128562	130329	VIT_07s0141g00190
4	18972891	18976842	VIT_04s0023g02420
12	9624313	9631073	VIT_12s0057g00920
6	7071711	7074642	VIT_06s0004g06290
18	12719099	12724188	VIT_18s0001g14670
11	7181329	7182743	VIT_11s0149g00280
16	16950218	16957354	VIT_16s0050g00110
15	15980226	15981864	VIT_15s0048g01820
18	4738323	4739992	VIT_18s0001g06320
18	993276	996389	VIT_18s0122g01440
1	7079708	7086909	VIT_01s0137g00590
12	22578529	22583542	VIT_12s0035g02180
18	12969264	12971832	VIT_18s0001g14940
8	19880903	19882361	VIT_08s0007g06080
7	2865280	2866720	VIT_07s0005g00050
18	3935472	3935878	VIT_18s0001g04660
3	4207554	4209371	VIT_03s0063g00670
3	5114369	5114773	VIT_03s0063g01770
5	2018599	2020958	VIT_05s0020g00130
3	8252549	8257129	VIT_03s0088g00260
14	25555823	25556029	VIT_14s0068g01850
14	7419608	7426854	VIT_14s0030g02220
9	3887442	3896617	VIT_09s0002g04250
1	22200589	22202388	VIT_01s0146g00340
19	20596644	20609026	VIT_19s0027g01070
11	2454950	2456551	VIT_11s0016g03050
9	9450669	9451058	VIT_09s0002g08450
18	1778921	1780342	VIT_18s0001g01130
12	16780123	16785618	VIT_12s0034g00970
Un	42842587	42843751	VIT_00s2740g00010
7	10718957	10722208	VIT_07s0005g06010
19	22256477	22257340	VIT_19s0027g01950
8	12066763	12079925	VIT_08s0040g01040
6	17270834	17272814	VIT_06s0061g00070
6	8408059	8409054	VIT_06s0004g07620
Un	40997333	40998344	VIT_00s2071g00010
9	11166180	11166946	VIT_09s0002g09290
6	8930021	8935925	VIT_06s0004g08180
4	19181712	19187882	VIT_04s0023g02640
5	3851143	3856263	VIT_05s0020g02130
1	21186425	21192801	VIT_01s0010g03830
18	4329359	4329584	VIT_18s0001g05490
12	1779104	1792022	VIT_12s0028g01190
10	4690929	4700653	VIT_10s0003g02690
Un	18527810	18529255	VIT_00s0260g00030
8	22158694	22159606	VIT_08s0007g08780
7	844447	848048	VIT_07s0151g00290
5	2943708	2953657	VIT_05s0020g01180
5	4852045	4853925	VIT_05s0020g03100
9	20847525	20847819	VIT_09s0054g00360
19	4992180	5005708	VIT_19s0014g04680
Un	31225304	31229926	VIT_00s0525g00020
8	22132315	22133750	VIT_08s0007g08750
5	14893559	14903256	VIT_05s0029g00350
12	2319670	2321872	VIT_12s0028g01640
19	22673124	22674794	VIT_19s0085g00310
13	1859638	1891446	VIT_13s0067g03390
16	700063	702582	VIT_16s0039g01280
10	2789114	2792146	VIT_10s0003g01410
10	5456973	5468059	VIT_10s0003g03280
8	21159963	21163850	VIT_08s0007g07700
Un	43138761	43139432	VIT_00s2855g00010
18	1522793	1524195	VIT_18s0001g00740
19	21410608	21416300	VIT_19s0027g01380
16	18247257	18248671	VIT_16s0050g01370
16	13772824	13774725	VIT_16s0022g01680
8	19813364	19821079	VIT_08s0007g05920
4	22005531	22034674	VIT_04s0044g00860
13	20024428	20026234	VIT_13s0084g00800
11	3108853	3113767	VIT_11s0016g03800
19	5318062	5327582	VIT_19s0014g04980
6	15391463	15393173	VIT_06s0009g02630
18	9083105	9084413	VIT_18s0001g10810
4	855317	855694	VIT_04s0008g00980
12	1992576	2002443	VIT_12s0028g01350
14	25653512	25657981	VIT_14s0068g02010
12	6578889	6585318	VIT_12s0059g01680
7	320711	321365	VIT_07s0141g00560
15	18441518	18442822	VIT_15s0046g01480
Un	26252367	26255365	VIT_00s0373g00010
3	138963	139287	VIT_03s0038g00190
13	21378928	21381289	VIT_13s0158g00440
12	17834850	17845380	VIT_12s0034g01740
15	15635769	15636949	VIT_15s0048g01500
1	9166714	9168055	VIT_01s0026g00420
1	949639	957904	VIT_01s0011g01080
14	19996434	19997224	VIT_14s0006g02440
3	2732051	2736013	VIT_03s0038g03750
13	12798248	12828394	VIT_13s0101g00510
8	2906244	2912260	VIT_08s0032g00040
4	23402111	23409732	VIT_04s0044g01670
11	18940464	18942492	VIT_11s0052g01180
7	18105404	18106882	VIT_07s0031g01980
2	4153235	4161632	VIT_02s0025g04620
16	17146197	17148187	VIT_16s0050g00320
9	5349758	5350131	VIT_09s0002g05610
15	19672585	19675581	VIT_15s0046g03020
Un	10279656	10282101	VIT_00s0193g00020
5	454099	454377	VIT_05s0077g00640
1	3678832	3683597	VIT_01s0011g04030
17	1966603	1969851	VIT_17s0000g02290
4	20870211	20881047	VIT_04s0044g00170
19	2259480	2271134	VIT_19s0014g02100
15	3693194	3693863	VIT_15s0024g01720
13_random	2394877	2396323	VIT_13s0019g00300
13	9914680	9915566	VIT_13s0106g00330
Un	36858802	36859467	VIT_00s0921g00020
Un	11230514	11243985	VIT_00s0199g00220
3_random	88444	88805	VIT_03s0038g00120
9	7802281	7803222	VIT_09s0002g07630
4	916045	919492	VIT_04s0008g01100
3	1661201	1662428	VIT_03s0038g02390
9	829416	831978	VIT_09s0002g01090
4	580379	586970	VIT_04s0008g00650
11	2056865	2059653	VIT_11s0016g02570
4	8402038	8402560	VIT_04s0069g00440
18	24839099	24839594	VIT_18s0041g00390
14	25441842	25442297	VIT_14s0068g01740
14	27848	29019	VIT_14s0060g00050
16	346728	353020	VIT_16s0039g00700
4	8053710	8068561	VIT_04s0069g00180
13	19090402	19090847	VIT_13s0084g00320
12	20482501	20502763	VIT_12s0035g00890
11	6332000	6333254	VIT_11s0118g00550
14	26208870	26209971	VIT_14s0171g00390
4	5161470	5165209	VIT_04s0008g05670
Un	31421956	31428879	VIT_00s0532g00020
Un	28325444	28326410	VIT_00s0415g00070
14	1836572	1838534	VIT_14s0060g02270
4	203083	205748	VIT_04s0008g00290
15	18576176	18577073	VIT_15s0046g01720
13	4055458	4063630	VIT_13s0019g02860
9	13099812	13108195	VIT_09s0070g00130
11	427507	442926	VIT_11s0016g00440
3	12883298	12884191	VIT_03s0110g00130
19	8775235	8778688	VIT_19s0015g00690
13	17180756	17187846	VIT_13s0047g00700
19	18256640	18257111	VIT_19s0027g00070
16	2058540	2064308	VIT_16s0039g02000
14	6600678	6613533	VIT_14s0030g01740
9	8823274	8829988	VIT_09s0002g08210
2	2624684	2626283	VIT_02s0025g03080
Un	35140266	35141492	VIT_00s0762g00010
4	20609458	20620981	VIT_04s0210g00220
19	2770618	2777732	VIT_19s0014g02710
8	18900823	18904936	VIT_08s0007g04960
1	19335593	19336894	VIT_01s0010g02330
17	7475229	7477459	VIT_17s0000g06820
14	13459968	13460401	VIT_14s0006g00240
10	1742439	1744255	VIT_10s0003g00480
15	17583739	17587199	VIT_15s0046g00650
18	9680018	9680699	VIT_18s0001g11370
Un	10789789	10790424	VIT_00s0194g00350
Un	42605053	42605301	VIT_00s2651g00020
15	16471043	16474509	VIT_15s0048g02310
4	1897381	1899020	VIT_04s0008g02300
14	4966413	4971298	VIT_14s0030g00740
3	5411032	5413972	VIT_03s0063g02120
18	19711564	19713231	VIT_18s0072g00540
11_random	5444	6663	VIT_11s0016g00010
4	880533	883862	VIT_04s0008g01040
1	22586174	22593857	VIT_01s0150g00140
9	1121275	1121699	VIT_09s0002g01330
17	15811509	15812357	VIT_17s0053g00640
5	22542627	22546094	VIT_05s0102g00630
19	19502179	19507465	VIT_19s0027g00520
14	3030685	3053934	VIT_14s0128g00400
Un	40147809	40148701	VIT_00s1682g00010
7	6832075	6838346	VIT_07s0005g03830
13	4830847	4835620	VIT_13s0019g03680
7	10205898	10213652	VIT_07s0005g05860
Un	32718803	32721393	VIT_00s0601g00010
6	18155810	18159944	VIT_06s0061g00640
13	4801175	4801593	VIT_13s0019g03650
11	19725539	19781265	VIT_11s0052g01840
7	8984793	8985582	VIT_07s0005g05090
6	19055686	19056772	VIT_06s0061g01250
1	2352041	2356540	VIT_01s0011g02580
16	15242498	15242838	VIT_16s0022g02500
6	19733644	19749895	VIT_06s0080g00060
18_random	3795998	3798459	VIT_18s0001g04280
1	21117742	21120902	VIT_01s0010g03760
Un	27447186	27447950	VIT_00s0398g00030
Un	21694821	21696126	VIT_00s0288g00020
4	3875392	3885826	VIT_04s0008g04510
10	1119895	1125479	VIT_10s0116g01860
8	11313031	11320284	VIT_08s0040g00380
19	8704992	8707290	VIT_19s0015g00620
13	5707165	5718232	VIT_13s0019g04360
8	1739898	1743982	VIT_08s0056g01140
5	22860454	22861797	VIT_05s0102g00900
3	373306	374140	VIT_03s0038g00390
3	12421540	12422888	VIT_03s0167g00130
18	20720304	20720676	VIT_18s0072g01120
11	1617849	1624642	VIT_11s0016g02010
6	20766324	20767896	VIT_06s0080g00770
6	20922448	20950876	VIT_06s0080g00880
5	9246936	9248358	VIT_05s0049g01810
2	243992	246235	VIT_02s0025g00080
10	12423832	12427411	VIT_10s0092g00650
10	13977081	13978611	VIT_10s0042g00720
4	3401677	3401950	VIT_04s0008g04080
12	4668184	4669316	VIT_12s0028g03790
6	8386761	8387489	VIT_06s0004g07600
4	4762276	4774756	VIT_04s0008g05270
4	2730009	2731726	VIT_04s0008g03270
8	10222472	10225255	VIT_08s0058g00900
5	24593766	24597879	VIT_05s0094g01350
19	1870767	1878499	VIT_19s0014g01730
8	11416762	11422529	VIT_08s0040g00460
8	9038782	9039526	VIT_08s0058g00250
18	28594157	28597171	VIT_18s0089g00790
11	571050	571850	VIT_11s0016g00580
15	15595607	15596584	VIT_15s0048g01470
14	959578	961198	VIT_14s0060g01210
9	13611946	13614883	VIT_09s0070g00410
7	3965366	3978334	VIT_07s0005g01440
19	10385087	10387248	VIT_19s0015g01700
11	15292426	15293639	VIT_11s0065g01160
14	24605414	24606138	VIT_14s0068g00820
2	13720783	13721456	VIT_02s0033g00150
14	1426637	1427052	VIT_14s0060g01730
13	964695	968368	VIT_13s0067g01760
7	18234368	18275254	VIT_07s0031g02090
8	17078610	17080600	VIT_08s0007g03030
9	1304561	1315852	VIT_09s0002g01530
13	1214191	1219316	VIT_13s0067g02170
8	15818802	15825490	VIT_08s0007g01750
8	21781395	21782522	VIT_08s0007g08440
11	1530198	1542817	VIT_11s0016g01890
9	2856811	2857476	VIT_09s0002g03100
18_random	3865834	3866388	VIT_18s0001g04490
7	7997397	8009262	VIT_07s0005g04760
17	9907475	9915573	VIT_17s0000g08620
14	28982934	28985707	VIT_14s0108g00180
Un	38577899	38578789	VIT_00s1328g00010
12	10130090	10132198	VIT_12s0057g01420
11	4327782	4333251	VIT_11s0016g05020
4	23610732	23617964	VIT_04s0044g01770
14	3057711	3061332	VIT_14s0128g00420
12	4901899	4903485	VIT_12s0028g04020
6	16610144	16612096	VIT_06s0009g03380
4	16332376	16334957	VIT_04s0023g00220
Un	14568870	14569535	VIT_00s0225g00020
8	10256365	10268142	VIT_08s0058g00940
2	11705590	11719313	VIT_02s0012g03130
7	16946975	16950951	VIT_07s0031g00810
12	4921856	4923312	VIT_12s0028g04040
15	19327772	19328216	VIT_15s0046g02540
14	25152786	25178457	VIT_14s0068g01440
9	2470639	2473436	VIT_09s0002g02730
8	11650625	11651300	VIT_08s0040g00710
12	7897634	7898440	VIT_12s0134g00330
6	16511911	16512843	VIT_06s0009g03310
13	414991	417136	VIT_13s0067g00750
10	14264601	14265706	VIT_10s0042g00890
8	4413432	4413827	VIT_08s0032g00820
15	19336280	19337354	VIT_15s0046g02550
7	14050899	14053716	VIT_07s0185g00040
13	6540285	6553300	VIT_13s0019g04870
2	557051	570448	VIT_02s0025g00470
4	6915671	6921266	VIT_04s0008g06890
7	8671643	8672427	VIT_07s0005g05070
14	22368033	22370374	VIT_14s0083g00320
5	20933836	20938508	VIT_05s0124g00340
14	19602251	19605203	VIT_14s0006g02260
12	17317387	17318217	VIT_12s0034g01310
14	25090451	25093213	VIT_14s0068g01390
1	21682716	21685163	VIT_01s0244g00120
11	6334601	6339391	VIT_11s0118g00560
1	6977522	6983072	VIT_01s0137g00460
19	6273383	6279227	VIT_19s0090g00100
8	13519803	13523582	VIT_08s0040g02450
5	23489773	23495990	VIT_05s0094g00120
12	9006430	9010756	VIT_12s0057g00400
5	1620965	1622628	VIT_05s0077g02090
15	20234167	20254701	VIT_15s0046g03720
17	443107	443791	VIT_17s0000g00680
2	8205082	8210973	VIT_02s0012g01790
1	8064491	8071298	VIT_01s0127g00720
15	15775359	15776766	VIT_15s0048g01610
15	17582079	17582499	VIT_15s0046g00640
7	16738987	16739745	VIT_07s0031g00550
4	21276992	21300325	VIT_04s0044g00490
13_random	2021960	2026039	VIT_13s0067g03640
13	2601968	2603197	VIT_13s0019g00650
10	11641632	11642515	VIT_10s0092g00260
7	812409	813538	VIT_07s0151g00240
2	1473462	1474469	VIT_02s0025g01530
1	20078603	20081509	VIT_01s0010g03060
Un	22117099	22119210	VIT_00s0299g00100
17	769342	770298	VIT_17s0000g01100
16	19488875	19492368	VIT_16s0050g02520
7	10117357	10123599	VIT_07s0005g05790
5	23503053	23506585	VIT_05s0094g00140
6	21055782	21057411	VIT_06s0080g00980
18_random	3068050	3070292	VIT_18s0001g03010
12	13356579	13361135	VIT_12s0055g00460
16	4844135	4846572	VIT_16s0013g00080
15	1686899	1715859	VIT_15s0024g00850
4	12717044	12717163	VIT_04s0043g00080
13	5921402	5929378	VIT_13s0019g04480
4	5630104	5632495	VIT_04s0008g05930
12	3972274	3972599	VIT_12s0028g03220
7	12395360	12395782	VIT_07s0095g00030
19	8794553	8798817	VIT_19s0015g00720
9	16411904	16412730	VIT_09s0018g00390
10	10483749	10493329	VIT_10s0003g05640
Un	38841602	38844206	VIT_00s1364g00010
16	11804770	11807788	VIT_16s0022g00580
Un	8913647	8914420	VIT_00s0186g00100
1	17139884	17140283	VIT_01s0010g01260
18	3931182	3931761	VIT_18s0001g04640
1	7600725	7602722	VIT_01s0127g00240
7	8118676	8137173	VIT_07s0005g04860
4	6020927	6034191	VIT_04s0008g06210
4	2911585	2917396	VIT_04s0008g03560
5	871762	873594	VIT_05s0077g01120
15	14814792	14816834	VIT_15s0048g00690
19	8962812	8965998	VIT_19s0015g00860
3	3482597	3484635	VIT_03s0038g04750
11	18210736	18213011	VIT_11s0052g00690
1	11257108	11257345	VIT_01s0026g01900
13	20292425	20295913	VIT_13s0139g00070
12	6947653	6952853	VIT_12s0059g02160
7	13244915	13251598	VIT_07s0095g00610
19	1614338	1615226	VIT_19s0014g01510
1	3368571	3370248	VIT_01s0011g03720
18	11161718	11165469	VIT_18s0001g13070
8	11220311	11226895	VIT_08s0040g00290
11	15609014	15609611	VIT_11s0103g00090
13	1107377	1138015	VIT_13s0067g01990
8	2053605	2059051	VIT_08s0056g01310
6	3710645	3712337	VIT_06s0004g02980
5	21045628	21052572	VIT_05s0124g00450
18	4143615	4147853	VIT_18s0001g05060
19	22512408	22512866	VIT_19s0085g00180
16_random	558010	558639	VIT_16s0039g01040
16	21086800	21089225	VIT_16s0098g00720
13	9965232	9967390	VIT_13s0106g00350
Un	28067916	28069147	VIT_00s0411g00020
Un	15495184	15503835	VIT_00s0229g00140
13	11972601	11975737	VIT_13s0101g00290
5	4115617	4117534	VIT_05s0020g02430
2	6896649	6900386	VIT_02s0012g00970
5	2606761	2623221	VIT_05s0020g00740
Un	12477979	12478788	VIT_00s0207g00140
13	8138688	8141489	VIT_13s0074g00410
18	6313305	6319259	VIT_18s0001g07860
5	4705783	4728055	VIT_05s0020g02960
15	18873629	18874670	VIT_15s0046g02070
9	4496850	4496969	VIT_09s0002g04900
9	4932817	4957793	VIT_09s0002g05250
7	17253879	17256958	VIT_07s0031g01140
13	16143325	16156038	VIT_13s0047g00330
11	884366	885597	VIT_11s0016g01080
Un	41938963	41939284	VIT_00s2416g00010
5	21473884	21474360	VIT_05s0165g00070
1	8670265	8675104	VIT_01s0026g00040
13	14355830	14357004	VIT_13s0073g00520
17	4964452	4975540	VIT_17s0000g04690
7	3628048	3629013	VIT_07s0005g01080
Un	42255412	42256187	VIT_00s2525g00010
4	9132360	9137098	VIT_04s0069g00900
2	2577443	2582737	VIT_02s0025g03030
11	2377706	2381306	VIT_11s0016g02970
1	8016688	8021125	VIT_01s0127g00690
1	18487530	18519686	VIT_01s0010g01890
8	216442	216824	VIT_08s0056g00090
15	15406740	15424210	VIT_15s0048g01270
13	2469487	2474529	VIT_13s0019g00430
10	10493330	10494464	VIT_10s0003g05650
10	4871986	4876500	VIT_10s0003g02790
8	12759753	12765920	VIT_08s0040g01630
5	3372374	3388225	VIT_05s0020g01660
5	9334352	9334824	VIT_05s0049g01870
1	1528493	1528920	VIT_01s0011g01700
19	5138070	5153191	VIT_19s0014g04800
2	1704084	1705456	VIT_02s0025g01830
11	4943429	4944970	VIT_11s0016g05550
8	15970284	15970803	VIT_08s0007g01880
14	1722512	1723184	VIT_14s0060g02150
18	22551885	22552783	VIT_18s0075g00830
Un	5370314	5371274	VIT_00s0160g00310
6	5497964	5504059	VIT_06s0004g04530
10	5243238	5246248	VIT_10s0003g03110
Un	21016628	21022852	VIT_00s0282g00010
14	13579140	13580494	VIT_14s0006g00300
Un	33643228	33644261	VIT_00s0655g00020
Un	42960784	42961822	VIT_00s2785g00010
18_random	4656814	4659173	VIT_18s0001g06160
13	4576663	4581089	VIT_13s0019g03490
12	19393309	19401873	VIT_12s0035g00170
5	16819845	16822086	VIT_05s0029g01040
17	3059186	3059744	VIT_17s0000g03160
13	2241936	2246134	VIT_13s0019g00020
12	17283683	17289426	VIT_12s0034g01270
8	13239663	13250993	VIT_08s0040g02130
5	18991783	18993249	VIT_05s0062g00720
4	773935	775633	VIT_04s0008g00900
18	21736041	21736414	VIT_18s0075g00330
10	14851635	14852877	VIT_10s0042g01090
6	17528718	17554303	VIT_06s0061g00250
17	8239664	8241675	VIT_17s0000g07370
15	2773211	2773867	VIT_15s0024g01380
1	550208	556153	VIT_01s0011g00600
1	3223281	3227712	VIT_01s0011g03560
12	1886665	1894952	VIT_12s0028g01250
5	18289791	18297376	VIT_05s0062g00140
13	1558971	1559978	VIT_13s0067g02880
7	1474349	1476721	VIT_07s0104g00210
10	17285008	17286586	VIT_10s0071g00770
4	3229052	3231264	VIT_04s0008g03900
13	17156924	17163649	VIT_13s0047g00690
6	7426435	7432205	VIT_06s0004g06720
17	12697439	12698018	VIT_17s0000g10370
18	9027097	9030602	VIT_18s0001g10720
4	17612820	17614296	VIT_04s0023g01210
18	4700787	4704775	VIT_18s0001g06250
16	16983150	16985468	VIT_16s0050g00150
14	30165022	30170230	VIT_14s0108g01630
18	4605365	4607009	VIT_18s0001g06060
13	7223086	7223392	VIT_13s0019g05350
8	19024829	19025572	VIT_08s0007g05110
19	18381367	18399477	VIT_19s0027g00120
11	14880926	14888671	VIT_11s0065g00900
9	13450437	13452476	VIT_09s0070g00320
14	30108075	30114893	VIT_14s0108g01570
Un	30209255	30211334	VIT_00s0481g00020
8	18605830	18623669	VIT_08s0007g04670
17	7037862	7044980	VIT_17s0000g06450
13	23876862	23878521	VIT_13s0156g00110
7	16448327	16459433	VIT_07s0031g00230
8	22138535	22148666	VIT_08s0007g08760
10	4083510	4086308	VIT_10s0003g02280
12	4676325	4683757	VIT_12s0028g03810
Un	8998113	8998940	VIT_00s0187g00020
5	4510252	4514095	VIT_05s0020g02810
2	2967220	2971090	VIT_02s0025g03460
14	20660296	20668364	VIT_14s0006g02680
11	6552717	6553829	VIT_11s0118g00780
19	6896418	6899097	VIT_19s0090g00860
18	16093377	16093805	VIT_18s0076g00290
17	5315054	5318125	VIT_17s0000g04910
18	28343799	28346395	VIT_18s0089g00550
Un	21421367	21422545	VIT_00s0286g00050
8	11715153	11728193	VIT_08s0040g00760
11	7324033	7324732	VIT_11s0206g00010
Un	21784305	21785182	VIT_00s0291g00020
7	19169242	19177723	VIT_07s0031g02720
3	11110921	11111313	VIT_03s0097g00610
9	21955183	21955549	VIT_09s0054g01100
19	21721560	21721733	VIT_19s0027g01540
19	2384278	2385348	VIT_19s0014g02270
1	2754305	2765766	VIT_01s0011g03080
6	7796568	7803830	VIT_06s0004g07050
14	172533	179504	VIT_14s0060g00210
12	17644602	17652601	VIT_12s0034g01590
6	20199694	20200900	VIT_06s0080g00290
9	6425996	6427676	VIT_09s0002g06480
8	16030211	16033532	VIT_08s0007g01970
18	4130541	4134290	VIT_18s0001g05030
12	18030513	18043335	VIT_12s0034g01820
19	2550312	2573694	VIT_19s0014g02470
7	15709542	15714388	VIT_07s0129g00470
14	4065100	4086276	VIT_14s0030g00220
